country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
CAN,Canada,Belle-Rivière,1,48.4417,-71.7389,Hydro,,,,,La Société d'Énergie Belle-Rivière Inc,,Natural Resources Canada,2.83
CAN,Canada,Belledune,467,47.9073,-65.863,Coal,,,,,,,Natural Resources Canada,
CAN,Canada,Belleterre,2.2,47.5739,-78.5576,Hydro,,,,,Algonquin Power,,Natural Resources Canada,9.34
CAN,Canada,Belleville TS Demorestville,10,44.0652,-77.2579,Solar,,,,,Sune Demorestville LP,,Natural Resources Canada,14.23
CAN,Canada,Belly River,3,49.315,-113.5743,Hydro,,,,,TransAlta (100%),,Natural Resources Canada,10.98
CAN,Canada,Belmont,20,42.8913,-81.1134,Solar,,,,,Ge Energy Financial (90%) / Fiera Axium Infrastructure (10%),,Natural Resources Canada,28.7
CAN,Canada,Bensfort Road LFG,1.6,44.2271,-78.2873,Biomass,,,,,Lfg Power Corp,,Natural Resources Canada,
CAN,Canada,Bersimis-1,1178,49.2947,-69.5514,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,4713.69
CAN,Canada,Bersimis-2,869,49.1754,-69.2263,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,3389.29
CAN,Canada,Big Beaver Falls,5.5,49.2998,-82.5273,Hydro,,,,,Amik-Bbf Hydrokap LP,,Natural Resources Canada,24.56
CAN,Canada,Big Chute,10,44.8843,-79.6761,Hydro,,,,,,,Natural Resources Canada,53.61
CAN,Canada,Big Eddy,8,45.0206,-79.753,Hydro,,,,,,,Natural Resources Canada,43.18
CAN,Canada,Big Eddy Inco,27.6,46.3839,-81.5781,Hydro,,,,,Vale Canada Limited/Vale Canada Limi,,Natural Resources Canada,102.61
CAN,Canada,Big Falls,10.6,44.138,-64.9353,Hydro,,,,,,,Natural Resources Canada,42.82
CAN,Canada,Big Silver Creek,40.6,49.693,-121.8591,Hydro,,,,,Innergex Inc,,Natural Resources Canada,103.22
CAN,Canada,Bighorn,120,52.3081,-116.3245,Hydro,,,,,TransAlta (100%),,Natural Resources Canada,363.17
CAN,Canada,Bingham Chute,1,46.0761,-79.3968,Hydro,,,,,,,Natural Resources Canada,4.46
CAN,Canada,Bird-1-2,4.8,46.7489,-71.7104,Hydro,,,,,Fiducie R.S.P. Hydro Inc/ Boralex Inc,,Natural Resources Canada,21.38
CAN,Canada,Bishops Falls,14.4,49.0154,-55.4722,Hydro,,,,,,,Natural Resources Canada,75.77
CAN,Canada,Bisnett Line,9,42.2787,-81.9917,Wind,,,,,Gengrowth,,Natural Resources Canada,
CAN,Canada,Black Bay 2,1,48.9428,-88.3141,Solar,,,,,2397995 Ontario Inc,,Natural Resources Canada,1.31
CAN,Canada,Black Pond,2,43.7516,-66.0204,Wind,,,,,,,Natural Resources Canada,
CAN,Canada,Blackspring Ridge,298.8,50.1525,-112.8226,Wind,,,,,EDF/Enbridge,,Natural Resources Canada,
CAN,Canada,Blue Trail,66,49.6687,-113.4522,Wind,,,,,TransAlta,,Natural Resources Canada,
CAN,Canada,Bluearth Little Creek,8.5,44.2044,-76.9251,Solar,,,,,Bluearth Renewables Inc,,Natural Resources Canada,11.15
CAN,Canada,Bluefish,7.5,62.6718,-114.2615,Hydro,,,,,,,Natural Resources Canada,22.85
CAN,Canada,Bluewater,59.2,43.4846,-81.6282,Wind,,,,,Varna Wind  LP,,Natural Resources Canada,
CAN,Canada,Bone Creek,19,52.2553,-119.1808,Hydro,,,,,TransAlta (100%),,Natural Resources Canada,42.94
CAN,Canada,Bonnington Falls,16.2,49.4582,-117.4854,Hydro,,,,,Nelson Hydro,,Natural Resources Canada,91.9
CAN,Canada,Bornish,72.9,43.1128,-81.7024,Wind,,,,,Bornish Wind  LP,,Natural Resources Canada,
CAN,Canada,Boston Bar,9,49.8113,-121.4585,Hydro,,,,,Boston Bar LP,,Natural Resources Canada,40.99
CAN,Canada,Boulder Creek,25.3,50.635,-123.405,Hydro,,,,,Innergex Inc (66.7%) / Ledcor Power Group (33.3%),,Natural Resources Canada,64.71
CAN,Canada,Boundary Dam,672,49.0961,-103.0305,Coal,,,,,Saskatchewan Power Corp,,Natural Resources Canada,
CAN,Canada,Bow Lake,58.3,47.2214,-84.5235,Wind,,,,,Nodin Kitagan LP,,Natural Resources Canada,
CAN,Canada,Box Canyon,15,49.6006,-123.4267,Hydro,,,,,,,Natural Resources Canada,53.93
CAN,Canada,Box Springs,6,50.1004,-110.7276,Wind,,,,,,,Natural Resources Canada,
CAN,Canada,Bracebridge Falls,1.9,45.0388,-79.3086,Hydro,,,,,Bracebridge Generation Limited,,Natural Resources Canada,8.42
CAN,Canada,Brampton Biomass,15.1,43.697,-79.6825,Biomass,,,,,,,Natural Resources Canada,
CAN,Canada,Brandon,385,49.8449,-99.8902,Gas,,,,,,,Natural Resources Canada,
CAN,Canada,Brandon,98,49.8453,-99.8918,Coal,,,,1958,Manitoba Hydro,,WRI,
CAN,Canada,Brandywine Creek,8,50.0579,-123.1312,Hydro,,,,,Run of River Power,,Natural Resources Canada,25.68
CAN,Canada,Brandywine Creek Small Hydro,8,49.9783,-123.1417,Hydro,,,,,Rockford Energy Corp,,Natural Resources Canada,25.68
CAN,Canada,Brazeau,355,52.9101,-115.3754,Hydro,,,,,TransAlta (100%),,Natural Resources Canada,1144.01
